Cycle ID,Status,Peak No,Amplitude,Mean,Sigma,Area
13,Discharge,2,-6659.262237758434,3.5591383892373236,0.05324815534303916,-888.8339179025813
14,Charge,1,5063.61425675086,3.523637891873362,-0.01278740200441463,-162.3053616458094
14,Charge,2,7363.287537592368,3.673438356711357,0.03458523960905963,638.3406229637628
14,Discharge,1,-3338.7864512486963,3.4007024025296375,-0.024380177000617446,204.04005453319778
14,Discharge,2,-6643.65831954002,3.5562254351671063,0.05040541880834307,-839.4106026540494
15,Charge,1,5068.1063288389705,3.5232718165059387,-0.012247772672337577,-155.59397247239514
15,Charge,2,7450.701741442899,3.6724535456996312,0.03479080423000604,649.7579183682183
15,Discharge,1,-3344.8721106979233,3.399758081267499,-0.023560190358088547,197.5369057704456
15,Discharge,2,-6651.450456248786,3.557136725728013,0.05189457407976731,-865.2233804157728
16,Charge,1,5067.307612436021,3.524229272373471,0.012831793652142329,162.9876020894062
16,Charge,2,7359.951426347053,3.6711264906102996,0.03320208802523364,612.5341111328875
16,Discharge,1,-3312.8068166653807,3.399805778317876,-0.02461142460774391,204.37266044185202
16,Discharge,2,-6602.55385618856,3.5549453897494225,-0.05747376852288975,951.1993855568576
17,Charge,1,5041.482265497518,3.5244242553607514,-0.012732952140524363,-160.90786952761323
17,Charge,2,7417.393076109318,3.6712453156951903,0.029384637287613116,546.3381944420812
17,Discharge,1,-3318.246123753262,3.399882125493515,0.024611051176135913,-204.7051144454552
17,Discharge,2,-6641.742024808198,3.5554986556511836,-0.05050877730806716,840.8892347311694
18,Charge,1,5042.920725746896,3.5245471274331392,-0.012568054538326335,-158.8693548597252
18,Charge,2,7388.988168648035,3.6721069839815472,0.03168158195075739,586.7887303462628
18,Discharge,1,-3342.127046083718,3.3990622517575444,-0.023959288506150322,200.71822430240508
18,Discharge,2,-6642.577319554327,3.5557113290222997,-0.052674711159039954,877.0588098785466
19,Charge,1,5076.246017247458,3.524501467731936,0.012256582309934908,155.95596203357263
19,Charge,2,7391.4642253655375,3.671948421655598,0.03009741073167359,557.6343888029253
19,Discharge,1,-3343.031729921914,3.3989066497563596,-0.02393429991729493,200.56315910279497
19,Discharge,2,-6687.650473782606,3.5552221715431456,-0.044314003838107664,742.8557546342752
20,Charge,1,5021.897714276516,3.5251747293588416,0.01310491667701813,164.96509479987722
20,Charge,2,7324.1819237954505,3.672741415328157,0.0465551392840799,854.7058718898649
20,Discharge,1,-3353.9770218045696,3.398822285591084,-0.023690004751505435,199.16598336741484
20,Discharge,2,-6639.312565770365,3.55480557530273,-0.051060142495842814,849.7576274481463
21,Charge,1,5031.55369299408,3.5254015054547256,-0.013006887889926719,-164.04592346308183
21,Charge,2,7451.346675706516,3.672629889029208,0.028963682546569718,540.9766030375006
21,Discharge,1,-3351.8925655514704,3.3989257255666163,-0.024113250183510036,202.59829050974577
21,Discharge,2,-6632.823709240837,3.5544869674346242,-0.05056008842157795,840.6132157426525
22,Charge,1,5047.624425530371,3.5250904234594733,-0.012525528208896946,-158.4794724346566
22,Charge,2,7393.368798277613,3.673197460373137,0.03255364902482096,603.2981330733061
22,Discharge,1,-3366.192739001444,3.3978092294076063,-0.023442296078525292,197.80126279332933
22,Discharge,2,-6507.397987712414,3.5587311517960982,0.05056201644183498,-824.7487925250684
23,Charge,1,5008.029089650457,3.525464891805883,-0.012603170406843693,-158.21096714989432
23,Charge,2,7446.61916111942,3.6753582370488234,0.03198097854731988,596.9539438191019
23,Discharge,1,-3326.883977234015,3.39845915256596,-0.02440209506272542,203.49545050334785
23,Discharge,2,-6637.7045269885175,3.554309247513417,0.05150319883186871,-856.9235020582114
24,Charge,1,5010.2443704445795,3.5253023465844353,-0.012593845009391457,-158.1638351218702
24,Charge,2,7441.648281037462,3.672607777714117,0.029530855317750418,550.8522147408726
24,Discharge,1,-3333.694759892191,3.398571580761123,-0.024469800500247565,204.47781473850938
24,Discharge,2,-6636.398025557289,3.554321278735482,0.05244662582968667,-872.4487255475781
25,Charge,1,5013.038707889403,3.525018558750612,0.013213769034688053,166.0419035589483
25,Charge,2,7384.924075472467,3.6716562830354973,0.031030486192285066,574.4133821174171
25,Discharge,1,-3338.0355827268245,3.3995014426727455,-0.024277116316239702,203.13183658563923
25,Discharge,2,-6657.231887817662,3.555063006656728,-0.049765376738512175,830.4450774170007
26,Charge,1,5070.97888168159,3.525020883519801,-0.012926799957241176,-164.3133175178418
26,Charge,2,7438.88105662493,3.671688829549804,0.030052018476133494,560.3652506585737
26,Discharge,1,-3334.7578612841644,3.3994746008239503,-0.024305473422928384,203.1694120958674
26,Discharge,2,-6660.651800145132,3.5546811932920233,-0.04870449682943384,813.1594729836672
27,Charge,1,17664.834022467658,3.7238458685155598,-0.008244265319908498,-365.04924563730657
27,Charge,2,16713.706698245067,3.7210616937634233,0.006636334319341343,278.0295566901529
27,Discharge,1,-3371.472511648692,3.39007998937359,-0.021679275505726136,183.21217136089737
27,Discharge,2,-6615.09874973431,3.5454070212107065,0.05614244855073577,-930.9312636436749
28,Charge,1,5012.4133112307345,3.535982102503752,-0.013161779441731487,-165.36797856279813
28,Charge,2,7387.499943187781,3.683027556620071,0.02996800601489615,554.9390315554564
28,Discharge,1,-3129.888413059773,3.3938494850693335,0.022658405136091304,-177.76576506883458
28,Discharge,2,-6622.617526946679,3.5439952993698167,0.0536760434622563,-891.0459574567913
29,Charge,1,4971.051443209132,3.541448341071152,0.013071580570144781,162.87945061340085
